"","origin","destination","age","sex","year","proportion_value_em","proportion_value_im","value_est"
"383","AT","NL","Y45-49","F",2013,NA,NA,0.0187077917207536
"384","AT","NL","Y45-49","F",2014,NA,NA,0.0201294486585751
"385","AT","NL","Y45-49","F",2015,NA,NA,0.0204708331571531
"386","AT","NL","Y45-49","M",2009,NA,NA,0.0240990292963903
"387","AT","NL","Y45-49","M",2010,NA,NA,0.0225382726873175
"388","AT","NL","Y45-49","M",2011,NA,NA,0.0195677583251248
"389","AT","NL","Y45-49","M",2012,NA,NA,0.029654110080797
"390","AT","NL","Y45-49","M",2013,NA,NA,0.0251837665554178
"391","AT","NL","Y45-49","M",2014,NA,NA,0.0238186067479478
"392","AT","NL","Y45-49","M",2015,NA,NA,0.0246149665018502
"393","AT","NL","Y50-54","F",2009,NA,NA,0.0150131729122824
"394","AT","NL","Y50-54","F",2010,NA,NA,0.0124642197525554
"395","AT","NL","Y50-54","F",2011,NA,NA,0.0138512287645447
"396","AT","NL","Y50-54","F",2012,NA,NA,0.0143192416052951
"397","AT","NL","Y50-54","F",2013,NA,NA,0.0137360302251092
